#  N                 name        S[cm]        X[cm]        Y[cm]        Z[cm]   TetaX[deg]   TetaY[deg]  Energy[Mev]
  410  R1I1                    15618.414     8060.000    10000.000      306.957        0.000        0.000      598.177
  412  R1I2                    15693.414     8060.000    10000.000      381.957        0.000        0.000      601.864
  414  R1I3                    15809.474     8060.000    10000.000      498.017        0.000        0.000      605.552
  416  R1I4                    15884.474     8060.000    10000.000      573.017        0.000        0.000      609.239
  418  R1I5                    16000.534     8060.000    10000.000      689.077        0.000        0.000      612.927
  420  R1I6                    16075.534     8060.000    10000.000      764.077        0.000        0.000      616.614
  422  R1I7                    16191.594     8060.000    10000.000      880.137        0.000        0.000      620.302
  424  R1I8                    16266.594     8060.000    10000.000      955.137        0.000        0.000      623.989
  434  R1J1                    16578.414     8060.000    10000.000     1266.957        0.000        0.000      627.677
  436  R1J2                    16653.414     8060.000    10000.000     1341.957        0.000        0.000      631.364
  438  R1J3                    16769.474     8060.000    10000.000     1458.017        0.000        0.000      635.052
  440  R1J4                    16844.474     8060.000    10000.000     1533.017        0.000        0.000      638.739
  442  R1J5                    16960.534     8060.000    10000.000     1649.077        0.000        0.000      642.427
  444  R1J6                    17035.534     8060.000    10000.000     1724.077        0.000        0.000      646.114
  446  R1J7                    17151.594     8060.000    10000.000     1840.137        0.000        0.000      649.802
  448  R1J8                    17226.594     8060.000    10000.000     1915.137        0.000        0.000      653.489
  458  R1K1                    17538.414     8060.000    10000.000     2226.957        0.000        0.000      657.177
  460  R1K2                    17613.414     8060.000    10000.000     2301.957        0.000        0.000      660.864
  462  R1K3                    17729.474     8060.000    10000.000     2418.017        0.000        0.000      664.552
  464  R1K4                    17804.474     8060.000    10000.000     2493.017        0.000        0.000      668.239
  466  R1K5                    17920.534     8060.000    10000.000     2609.077        0.000        0.000      671.927
  468  R1K6                    17995.534     8060.000    10000.000     2684.077        0.000        0.000      675.614
  470  R1K7                    18111.594     8060.000    10000.000     2800.137        0.000        0.000      679.302
  472  R1K8                    18186.594     8060.000    10000.000     2875.137        0.000        0.000      682.989
  482  R1L1                    18498.414     8060.000    10000.000     3186.957        0.000        0.000      686.677
  484  R1L2                    18573.414     8060.000    10000.000     3261.957        0.000        0.000      690.364
  486  R1L3                    18689.474     8060.000    10000.000     3378.017        0.000        0.000      694.052
  488  R1L4                    18764.474     8060.000    10000.000     3453.017        0.000        0.000      697.739
  490  R1L5                    18880.534     8060.000    10000.000     3569.077        0.000        0.000      701.427
  492  R1L6                    18955.534     8060.000    10000.000     3644.077        0.000        0.000      705.114
  494  R1L7                    19071.594     8060.000    10000.000     3760.137        0.000        0.000      708.802
  496  R1L8                    19146.594     8060.000    10000.000     3835.137        0.000        0.000      712.489
  506  R1M1                    19468.414     8060.000    10000.000     4156.957        0.000        0.000      724.989
  508  R1M2                    19543.414     8060.000    10000.000     4231.957        0.000        0.000      737.489
  510  R1M3                    19659.474     8060.000    10000.000     4348.017        0.000        0.000      749.989
  512  R1M4                    19734.474     8060.000    10000.000     4423.017        0.000        0.000      762.489
  514  R1M5                    19850.534     8060.000    10000.000     4539.077        0.000        0.000      774.989
  516  R1M6                    19925.534     8060.000    10000.000     4614.077        0.000        0.000      787.489
  518  R1M7                    20041.594     8060.000    10000.000     4730.137        0.000        0.000      799.989
  520  R1M8                    20116.594     8060.000    10000.000     4805.137        0.000        0.000      812.489
  528  R1N1                    20428.414     8060.000    10000.000     5116.957        0.000        0.000      824.989
  530  R1N2                    20503.414     8060.000    10000.000     5191.957        0.000        0.000      837.489
  532  R1N3                    20619.474     8060.000    10000.000     5308.017        0.000        0.000      849.989
  534  R1N4                    20694.474     8060.000    10000.000     5383.017        0.000        0.000      862.489
  536  R1N5                    20810.534     8060.000    10000.000     5499.077        0.000        0.000      874.989
  538  R1N6                    20885.534     8060.000    10000.000     5574.077        0.000        0.000      887.489
  540  R1N7                    21001.594     8060.000    10000.000     5690.137        0.000        0.000      899.989
  542  R1N8                    21076.594     8060.000    10000.000     5765.137        0.000        0.000      912.489
  550  R1O1                    21388.414     8060.000    10000.000     6076.957        0.000        0.000      924.989
  552  R1O2                    21463.414     8060.000    10000.000     6151.957        0.000        0.000      937.489
  554  R1O3                    21579.474     8060.000    10000.000     6268.017        0.000        0.000      949.989
  556  R1O4                    21654.474     8060.000    10000.000     6343.017        0.000        0.000      962.489
  558  R1O5                    21770.534     8060.000    10000.000     6459.077        0.000        0.000      974.989
  560  R1O6                    21845.534     8060.000    10000.000     6534.077        0.000        0.000      987.489
  562  R1O7                    21961.594     8060.000    10000.000     6650.137        0.000        0.000      999.989
  564  R1O8                    22036.594     8060.000    10000.000     6725.137        0.000        0.000     1012.489
  572  R1P1                    22348.414     8060.000    10000.000     7036.957        0.000        0.000     1024.989
  574  R1P2                    22423.414     8060.000    10000.000     7111.957        0.000        0.000     1037.489
  576  R1P3                    22539.474     8060.000    10000.000     7228.017        0.000        0.000     1049.989
  578  R1P4                    22614.474     8060.000    10000.000     7303.017        0.000        0.000     1062.489
  580  R1P5                    22730.534     8060.000    10000.000     7419.077        0.000        0.000     1074.989
  582  R1P6                    22805.534     8060.000    10000.000     7494.077        0.000        0.000     1087.489
  584  R1P7                    22921.594     8060.000    10000.000     7610.137        0.000        0.000     1099.989
  586  R1P8                    22996.594     8060.000    10000.000     7685.137        0.000        0.000     1112.489
  596  R1Q1                    23308.414     8060.000    10000.000     7996.957        0.000        0.000     1124.989
  598  R1Q2                    23383.414     8060.000    10000.000     8071.957        0.000        0.000     1137.489
  600  R1Q3                    23499.474     8060.000    10000.000     8188.017        0.000        0.000     1149.989
  602  R1Q4                    23574.474     8060.000    10000.000     8263.017        0.000        0.000     1162.489
  604  R1Q5                    23690.534     8060.000    10000.000     8379.077        0.000        0.000     1174.989
  606  R1Q6                    23765.534     8060.000    10000.000     8454.077        0.000        0.000     1187.489
  608  R1Q7                    23881.594     8060.000    10000.000     8570.137        0.000        0.000     1199.989
  610  R1Q8                    23956.594     8060.000    10000.000     8645.137        0.000        0.000     1212.489
  624  END                     24366.829     8060.000    10000.000     9055.372        0.000        0.000     1212.489
