sample_id,plate,slot,material,region,environment,is_outlier,c1_baseline_mWC,c1_endpoint_mWC,c1_pct_change,c2_apr_raw_mWC,c2_apr_temp_C,c2_apr_corrected_mWC,c2_apr_date,c2_jun_raw_mWC,c2_jun_temp_C,c2_jun_corrected_mWC,c2_jun_date,c2_apr_vs_baseline_pct,c2_jun_vs_baseline_pct,c2_jun_vs_apr_pct,c2_jun_vs_c1end_pct
Y-16-1,16,1,N52SH,North Linac,tunnel,False,1.3137,1.3131,-0.0437,1.2995,26.8000,1.3093,2026-04-20,1.3015,27.4833,1.3123,2026-06-03,-0.3349,-0.1064,0.2293,-0.0607
Y-16-2,16,2,SmCo35,North Linac,tunnel,False,1.0823,1.0831,0.0784,1.0780,26.7000,1.0809,2026-04-20,1.0801,27.3503,1.0833,2026-06-03,-0.1294,0.0910,0.2206,0.0171
Y-16-3,16,3,N42EH,North Linac,tunnel,False,1.1745,1.1733,-0.1002,1.1609,26.8000,1.1688,2026-04-20,1.1646,27.4303,1.1733,2026-06-03,-0.4853,-0.1006,0.3866,0.0015
Y-16-4,16,4,SmCo33H,North Linac,tunnel,False,1.0408,1.0416,0.0813,1.0366,27.3000,1.0396,2026-04-20,1.0382,27.4687,1.0413,2026-06-03,-0.1153,0.0491,0.1646,-0.0278
Y-17-1,17,1,SmCo33H,North Linac,tunnel,False,1.0437,1.0441,0.0387,1.0389,27.2000,1.0419,2026-04-20,1.0410,28.5537,1.0446,2026-06-03,-0.1725,0.0837,0.2566,0.0454
Y-17-2,17,2,N52SH,North Linac,tunnel,False,1.3082,1.3109,0.2094,1.2967,27.3000,1.3072,2026-04-20,1.2982,28.5107,1.3105,2026-06-03,-0.0764,0.1734,0.2500,-0.0329
Y-17-3,17,3,SmCo35,North Linac,tunnel,False,1.0797,1.0799,0.0189,1.0745,27.7000,1.0778,2026-04-20,1.0759,28.6770,1.0796,2026-06-03,-0.1760,-0.0049,0.1714,-0.0234
Y-17-4,17,4,N42EH,North Linac,tunnel,False,1.1759,1.1739,-0.1651,1.1613,27.9000,1.1705,2026-04-20,1.1627,28.6897,1.1729,2026-06-03,-0.4592,-0.2558,0.2044,-0.0859
Y-18-1,18,1,SmCo35,NE Arc,tunnel,False,1.0813,1.0779,-0.3191,1.0764,27.9000,1.0798,2026-04-20,1.0790,27.8927,1.0824,2026-06-03,-0.1387,0.1033,0.2424,0.4191
Y-18-2,18,2,N42EH,NE Arc,tunnel,False,1.1754,1.1712,-0.3518,1.1633,27.9000,1.1725,2026-04-20,1.1631,27.8653,1.1723,2026-06-03,-0.2467,-0.2620,-0.0153,0.0957
Y-18-3,18,3,SmCo33H,NE Arc,tunnel,False,1.0405,1.0403,-0.0180,1.0338,28.0000,1.0371,2026-04-20,1.0367,28.1347,1.0401,2026-06-03,-0.3268,-0.0400,0.2878,-0.0207
Y-18-4,18,4,N52SH,NE Arc,tunnel,False,1.3090,1.3067,-0.1765,1.2954,27.9000,1.3067,2026-04-20,1.2955,28.1317,1.3072,2026-06-03,-0.1757,-0.1381,0.0377,0.0377
Y-19-1,19,1,N42EH,SW Arc,tunnel,False,1.1769,1.1719,-0.4236,1.1612,27.5000,1.1700,2026-04-20,1.1623,29.3767,1.1733,2026-06-02,-0.5863,-0.3057,0.2822,0.1196
Y-19-2,19,2,SmCo33H,SW Arc,tunnel,False,1.0409,1.0401,-0.0768,1.0364,27.4000,1.0395,2026-04-20,1.0380,29.4970,1.0420,2026-06-02,-0.1345,0.1017,0.2365,0.1787
Y-19-3,19,3,N52SH,SW Arc,tunnel,False,1.3086,1.3045,-0.3137,1.2935,27.3000,1.3040,2026-04-20,1.2950,29.1720,1.3082,2026-06-02,-0.3515,-0.0307,0.3220,0.2835
Y-19-4,19,4,SmCo35,SW Arc,tunnel,False,1.0809,1.0799,-0.0927,1.0763,27.5000,1.0796,2026-04-20,1.0779,29.6147,1.0821,2026-06-02,-0.1203,0.1075,0.2280,0.2002
Y-20-1,20,1,N52SH,Labyrinth,tunnel,False,1.3136,1.3115,-0.1607,1.2987,24.7000,1.3055,2026-04-20,1.2984,26.5993,1.3079,2026-06-02,-0.6166,-0.4344,0.1834,-0.2749
Y-20-2,20,2,SmCo35,Labyrinth,tunnel,False,1.0798,1.0785,-0.1202,1.0763,24.4000,1.0782,2026-04-20,1.0774,26.4873,1.0802,2026-06-02,-0.1482,0.0373,0.1858,0.1579
Y-20-3,20,3,N42EH,Labyrinth,tunnel,False,1.1749,1.1719,-0.2492,1.1618,25.2000,1.1679,2026-04-20,1.1624,27.1483,1.1708,2026-06-02,-0.5958,-0.3516,0.2457,-0.0965
Y-20-4,20,4,SmCo33H,Labyrinth,tunnel,False,1.0418,1.0424,0.0619,1.0366,25.6000,1.0389,2026-04-20,1.0383,27.0740,1.0412,2026-06-02,-0.2784,-0.0531,0.2258,-0.1107
Y-21-1,21,1,SmCo33H,NE Arc,tunnel,False,1.0390,1.0384,-0.0590,1.0351,27.9000,1.0384,2026-04-20,1.0328,28.4897,1.0363,2026-06-03,-0.0577,-0.2580,-0.2004,-0.2004
Y-21-2,21,2,N52SH,NE Arc,tunnel,False,1.3087,1.3059,-0.2096,1.2928,27.7000,1.3038,2026-04-20,1.2934,28.3800,1.3054,2026-06-03,-0.3744,-0.2496,0.1253,-0.0357
Y-21-3,21,3,SmCo35,NE Arc,tunnel,False,1.0830,1.0828,-0.0167,1.0776,27.8000,1.0810,2026-04-20,1.0790,28.2317,1.0826,2026-06-03,-0.1847,-0.0402,0.1447,-0.0217
Y-21-4,21,4,N42EH,NE Arc,tunnel,False,1.1789,1.1756,-0.2800,1.1636,27.8000,1.1727,2026-04-20,1.1654,28.2040,1.1750,2026-06-03,-0.5259,-0.3274,0.1995,-0.0476
Y-22-1,22,1,SmCo35,North Linac,tunnel,False,1.0801,1.0826,0.2348,1.0767,27.5000,1.0800,2026-04-20,1.0771,28.5203,1.0808,2026-06-03,-0.0093,0.0633,0.0725,-0.1678
Y-22-2,22,2,N42EH,North Linac,tunnel,False,1.1770,1.1761,-0.0742,1.1631,27.1000,1.1714,2026-04-20,1.1635,28.4623,1.1734,2026-06-03,-0.4758,-0.3033,0.1733,-0.2270
Y-22-3,22,3,SmCo33H,North Linac,tunnel,False,1.0425,1.0424,-0.0136,1.0366,27.3000,1.0396,2026-04-20,1.0389,28.2733,1.0423,2026-06-03,-0.2782,-0.0144,0.2645,-0.0048
Y-22-4,22,4,N52SH,North Linac,tunnel,False,1.3090,1.3089,-0.0087,1.2948,27.3000,1.3052,2026-04-20,1.2944,28.2813,1.3063,2026-06-03,-0.2903,-0.2063,0.0843,-0.1987
Y-23-1,23,1,N42EH,SE Arc,tunnel,False,1.1773,1.1757,-0.1364,,,,,1.1642,28.3113,1.1740,2026-06-02,,-0.2839,,-0.1482
Y-23-2,23,2,SmCo33H,SE Arc,tunnel,False,1.0400,1.0390,-0.0928,1.0368,27.2000,1.0398,2026-04-20,1.0362,28.2977,1.0397,2026-06-02,-0.0192,-0.0336,-0.0144,0.0626
Y-23-3,23,3,N52SH,SE Arc,tunnel,False,1.3127,1.3119,-0.0583,1.2995,27.1000,1.3097,2026-04-20,1.2982,28.2900,1.3101,2026-06-02,-0.2285,-0.1945,0.0341,-0.1336
Y-23-4,23,4,SmCo35,SE Arc,tunnel,False,1.0799,1.0796,-0.0308,1.0765,27.0000,1.0795,2026-04-20,1.0753,28.5400,1.0790,2026-06-02,-0.0370,-0.0847,-0.0476,-0.0569
Y-24-1,24,1,N52SH,South Linac,tunnel,False,1.3105,1.3105,-0.0008,1.2954,26.3000,1.3045,2026-04-20,1.2955,28.7580,1.3081,2026-06-02,-0.4578,-0.1830,0.2761,-0.1830
Y-24-2,24,2,SmCo35,South Linac,tunnel,False,1.0794,1.0804,0.0980,1.0748,26.7000,1.0777,2026-04-20,1.0770,28.6727,1.0807,2026-06-02,-0.1575,0.1250,0.2829,0.0323
Y-24-3,24,3,N42EH,South Linac,tunnel,False,1.1842,1.1830,-0.1022,1.1707,26.7000,1.1786,2026-04-20,1.1673,28.5500,1.1774,2026-06-02,-0.4729,-0.5771,-0.1047,-0.4762
Y-24-4,24,4,SmCo33H,South Linac,tunnel,False,1.0390,1.0390,-0.0035,1.0358,25.9000,1.0383,2026-04-20,1.0362,29.1337,1.0400,2026-06-02,-0.0674,0.0962,0.1637,0.0962
Y-25-1,25,1,SmCo33H,NW Arc,tunnel,False,1.0439,1.0448,0.0846,1.0381,28.8000,1.0417,2026-04-20,1.0406,29.0383,1.0444,2026-06-02,-0.2107,0.0456,0.2569,-0.0406
Y-25-2,25,2,N52SH,NW Arc,tunnel,False,1.3103,1.3083,-0.1517,1.2924,28.6000,1.3047,2026-04-20,1.2962,29.0947,1.3093,2026-06-02,-0.4274,-0.0764,0.3524,0.0763
Y-25-3,25,3,SmCo35,NW Arc,tunnel,False,1.0822,1.0804,-0.1662,1.0746,28.4000,1.0782,2026-04-20,1.0765,28.9707,1.0804,2026-06-02,-0.3696,-0.1685,0.2019,-0.0022
Y-25-4,25,4,N42EH,NW Arc,tunnel,False,1.1779,1.1744,-0.2948,1.1636,28.4000,1.1734,2026-04-20,1.1640,28.9817,1.1745,2026-06-02,-0.3820,-0.2845,0.0980,0.0127
Y-26-1,26,1,SmCo35,SE Arc,tunnel,False,1.0811,1.0822,0.1050,1.0770,27.1000,1.0801,2026-04-20,1.0762,28.6037,1.0799,2026-06-02,-0.0925,-0.1095,-0.0170,-0.2110
Y-26-2,26,2,N42EH,SE Arc,tunnel,False,1.1768,1.1766,-0.0177,1.1654,26.9000,1.1735,2026-04-20,1.1652,28.5017,1.1752,2026-06-02,-0.2804,-0.1367,0.1441,-0.1197
Y-26-3,26,3,SmCo33H,SE Arc,tunnel,False,1.0371,1.0370,-0.0099,1.0327,27.0000,1.0356,2026-04-20,1.0291,28.4017,1.0326,2026-06-02,-0.1446,-0.4368,-0.2926,-0.4272
Y-26-4,26,4,N52SH,SE Arc,tunnel,False,1.3096,1.3098,0.0190,1.2973,27.0000,1.3074,2026-04-20,1.2948,28.4877,1.3070,2026-06-02,-0.1680,-0.1983,-0.0304,-0.2136
Y-30-1,30,1,SmCo35,South Linac,tunnel,False,1.0816,1.0806,-0.0875,1.0775,25.8000,1.0800,2026-04-20,1.0790,28.9310,1.0829,2026-06-02,-0.1479,0.1173,0.2656,0.2099
Y-30-2,30,2,N42EH,South Linac,tunnel,False,1.1839,1.1800,-0.3302,1.1718,25.8000,1.1787,2026-04-20,1.1718,29.0347,1.1825,2026-06-02,-0.4392,-0.1197,0.3210,0.2105
