sample_id,plate_number,slot_number,material,sample_type,environment
Hs-15-3,15,3,SmCo,H,tunnel
As-15-3-1,15,3,SmCo,A,tunnel
As-15-3-2,15,3,SmCo,A,tunnel
Hs-15-4,15,4,SmCo,H,tunnel
As-15-4-1,15,4,SmCo,A,tunnel
As-15-4-2,15,4,SmCo,A,tunnel
Hs-16-1,16,1,SmCo,H,tunnel
As-16-1-1,16,1,SmCo,A,tunnel
As-16-1-2,16,1,SmCo,A,tunnel
Hs-16-2,16,2,SmCo,H,tunnel
As-16-2-1,16,2,SmCo,A,tunnel
As-16-2-2,16,2,SmCo,A,tunnel
Hs-16-3,16,3,SmCo,H,tunnel
As-16-3-1,16,3,SmCo,A,tunnel
As-16-3-2,16,3,SmCo,A,tunnel
Hs-16-4,16,4,SmCo,H,tunnel
As-16-4-1,16,4,SmCo,A,tunnel
As-16-4-2,16,4,SmCo,A,tunnel
Hs-17-1,17,1,SmCo,H,tunnel
As-17-1-1,17,1,SmCo,A,tunnel
As-17-1-2,17,1,SmCo,A,tunnel
Hs-17-2,17,2,SmCo,H,tunnel
As-17-2-1,17,2,SmCo,A,tunnel
As-17-2-2,17,2,SmCo,A,tunnel
Hs-17-3,17,3,SmCo,H,tunnel
As-17-3-1,17,3,SmCo,A,tunnel
As-17-3-2,17,3,SmCo,A,tunnel
Hs-17-4,17,4,SmCo,H,tunnel
As-17-4-1,17,4,SmCo,A,tunnel
As-17-4-2,17,4,SmCo,A,tunnel
Hs-18-1,18,1,SmCo,H,tunnel
As-18-1-1,18,1,SmCo,A,tunnel
As-18-1-2,18,1,SmCo,A,tunnel
Hs-18-2,18,2,SmCo,H,tunnel
As-18-2-1,18,2,SmCo,A,tunnel
As-18-2-2,18,2,SmCo,A,tunnel
Hs-18-3,18,3,SmCo,H,tunnel
As-18-3-1,18,3,SmCo,A,tunnel
As-18-3-2,18,3,SmCo,A,tunnel
Hs-18-4,18,4,SmCo,H,tunnel
As-18-4-1,18,4,SmCo,A,tunnel
As-18-4-2,18,4,SmCo,A,tunnel
Hs-20-1,20,1,SmCo,H,tunnel
As-20-1-1,20,1,SmCo,A,tunnel
As-20-1-2,20,1,SmCo,A,tunnel
Hs-20-2,20,2,SmCo,H,tunnel
As-20-2-1,20,2,SmCo,A,tunnel
As-20-2-2,20,2,SmCo,A,tunnel
Hs-20-3,20,3,SmCo,H,tunnel
As-20-3-1,20,3,SmCo,A,tunnel
As-20-3-2,20,3,SmCo,A,tunnel
Hs-20-4,20,4,SmCo,H,tunnel
As-20-4-1,20,4,SmCo,A,tunnel
As-20-4-2,20,4,SmCo,A,tunnel
Hn-1-1,1,1,NdFeB,H,lab
An-1-1-1,1,1,NdFeB,A,lab
An-1-1-2,1,1,NdFeB,A,lab
Hn-1-2,1,2,NdFeB,H,lab
An-1-2-1,1,2,NdFeB,A,lab
An-1-2-2,1,2,NdFeB,A,lab
Hn-1-3,1,3,NdFeB,H,lab
An-1-3-1,1,3,NdFeB,A,lab
An-1-3-2,1,3,NdFeB,A,lab
Hn-1-4,1,4,NdFeB,H,lab
An-1-4-1,1,4,NdFeB,A,lab
An-1-4-2,1,4,NdFeB,A,lab
Hn-2-1,2,1,NdFeB,H,lab
An-2-1-1,2,1,NdFeB,A,lab
An-2-1-2,2,1,NdFeB,A,lab
Hn-2-2,2,2,NdFeB,H,lab
An-2-2-1,2,2,NdFeB,A,lab
An-2-2-2,2,2,NdFeB,A,lab
Hn-2-3,2,3,NdFeB,H,lab
An-2-3-1,2,3,NdFeB,A,lab
An-2-3-2,2,3,NdFeB,A,lab
Hn-2-4,2,4,NdFeB,H,lab
An-2-4-1,2,4,NdFeB,A,lab
An-2-4-2,2,4,NdFeB,A,lab
Hn-3-1,3,1,NdFeB,H,lab
An-3-1-1,3,1,NdFeB,A,lab
An-3-1-2,3,1,NdFeB,A,lab
Hn-3-2,3,2,NdFeB,H,lab
An-3-2-1,3,2,NdFeB,A,lab
An-3-2-2,3,2,NdFeB,A,lab
Hn-3-3,3,3,NdFeB,H,lab
An-3-3-1,3,3,NdFeB,A,lab
An-3-3-2,3,3,NdFeB,A,lab
Hn-3-4,3,4,NdFeB,H,lab
An-3-4-1,3,4,NdFeB,A,lab
An-3-4-2,3,4,NdFeB,A,lab
Hn-5-1,5,1,NdFeB,H,lab
An-5-1-1,5,1,NdFeB,A,lab
An-5-1-2,5,1,NdFeB,A,lab
Hn-5-2,5,2,NdFeB,H,lab
An-5-2-1,5,2,NdFeB,A,lab
An-5-2-2,5,2,NdFeB,A,lab
Hn-5-3,5,3,NdFeB,H,lab
An-5-3-1,5,3,NdFeB,A,lab
An-5-3-2,5,3,NdFeB,A,lab
Hn-5-4,5,4,NdFeB,H,lab
An-5-4-1,5,4,NdFeB,A,lab
An-5-4-2,5,4,NdFeB,A,lab
Hn-7-1,7,1,NdFeB,H,lab
An-7-1-1,7,1,NdFeB,A,lab
An-7-1-2,7,1,NdFeB,A,lab
Hn-7-2,7,2,NdFeB,H,lab
An-7-2-1,7,2,NdFeB,A,lab
An-7-2-2,7,2,NdFeB,A,lab
Hn-7-3,7,3,NdFeB,H,lab
An-7-3-1,7,3,NdFeB,A,lab
