sample_id,sample_type,material,plate,slot,environment,region,config
An-20-1-2,A,NdFeB,20,1,tunnel,North Linac,Alpha
Hn-20-2,H,NdFeB,20,2,tunnel,North Linac,Delta
An-20-2-1,A,NdFeB,20,2,tunnel,North Linac,Delta
An-20-2-2,A,NdFeB,20,2,tunnel,North Linac,Delta
Hn-20-3,H,NdFeB,20,3,tunnel,North Linac,Gamma
An-20-3-1,A,NdFeB,20,3,tunnel,North Linac,Gamma
An-20-3-2,A,NdFeB,20,3,tunnel,North Linac,Gamma
Hn-20-4,H,NdFeB,20,4,tunnel,North Linac,Beta
An-20-4-1,A,NdFeB,20,4,tunnel,North Linac,Beta
An-20-4-2,A,NdFeB,20,4,tunnel,North Linac,Beta
Hn-37-1,H,NdFeB,37,1,tunnel,SE Arc,Delta
An-37-1-1,A,NdFeB,37,1,tunnel,SE Arc,Delta
An-37-1-2,A,NdFeB,37,1,tunnel,SE Arc,Delta
Hn-37-2,H,NdFeB,37,2,tunnel,SE Arc,Beta
An-37-2-1,A,NdFeB,37,2,tunnel,SE Arc,Beta
An-37-2-2,A,NdFeB,37,2,tunnel,SE Arc,Beta
Hn-37-3,H,NdFeB,37,3,tunnel,SE Arc,Alpha
An-37-3-1,A,NdFeB,37,3,tunnel,SE Arc,Alpha
An-37-3-2,A,NdFeB,37,3,tunnel,SE Arc,Alpha
Hn-37-4,H,NdFeB,37,4,tunnel,SE Arc,Gamma
An-37-4-1,A,NdFeB,37,4,tunnel,SE Arc,Gamma
An-37-4-2,A,NdFeB,37,4,tunnel,SE Arc,Gamma
Hn-39-1,H,NdFeB,39,1,tunnel,NW Arc,Beta
An-39-1-1,A,NdFeB,39,1,tunnel,NW Arc,Beta
An-39-1-2,A,NdFeB,39,1,tunnel,NW Arc,Beta
Hn-39-2,H,NdFeB,39,2,tunnel,NW Arc,Alpha
An-39-2-1,A,NdFeB,39,2,tunnel,NW Arc,Alpha
An-39-2-2,A,NdFeB,39,2,tunnel,NW Arc,Alpha
Hn-39-3,H,NdFeB,39,3,tunnel,NW Arc,Delta
An-39-3-1,A,NdFeB,39,3,tunnel,NW Arc,Delta
An-39-3-2,A,NdFeB,39,3,tunnel,NW Arc,Delta
Hn-39-4,H,NdFeB,39,4,tunnel,NW Arc,Gamma
An-39-4-1,A,NdFeB,39,4,tunnel,NW Arc,Gamma
