#  N                 name        S[cm]        X[cm]        Y[cm]        Z[cm]   TetaX[deg]   TetaY[deg]  Energy[Mev]
  253  D10015                   9663.809     8060.000    10000.000    -5647.648        0.000        0.000      417.489
  254  IPM1L12                  9663.809     8060.000    10000.000    -5647.648        0.000        0.000      417.489
  255  D10016                   9665.504     8060.000    10000.000    -5645.953        0.000        0.000      417.489
  256  MQSnl                    9672.504     8060.000    10000.000    -5638.953        0.000        0.000      417.489
  257  D10010                   9682.504     8060.000    10000.000    -5628.953        0.000        0.000      417.489
  258  MQB1L12                  9697.504     8060.000    10000.000    -5613.953        0.000        0.000      417.489
  259  D10005                   9808.414     8060.000    10000.000    -5503.043        0.000        0.000      417.489
  260  R1C1                     9858.414     8060.000    10000.000    -5453.043        0.000        0.000      421.177
  261  D10006                   9883.414     8060.000    10000.000    -5428.043        0.000        0.000      421.177
  262  R1C2                     9933.414     8060.000    10000.000    -5378.043        0.000        0.000      424.864
  263  D10007                   9999.474     8060.000    10000.000    -5311.983        0.000        0.000      424.864
  264  R1C3                    10049.474     8060.000    10000.000    -5261.983        0.000        0.000      428.552
  265  D10006                  10074.474     8060.000    10000.000    -5236.983        0.000        0.000      428.552
  266  R1C4                    10124.474     8060.000    10000.000    -5186.983        0.000        0.000      432.239
  267  D10007                  10190.534     8060.000    10000.000    -5120.923        0.000        0.000      432.239
  268  R1C5                    10240.534     8060.000    10000.000    -5070.923        0.000        0.000      435.927
  269  D10006                  10265.534     8060.000    10000.000    -5045.923        0.000        0.000      435.927
  270  R1C6                    10315.534     8060.000    10000.000    -4995.923        0.000        0.000      439.614
  271  D10007                  10381.594     8060.000    10000.000    -4929.863        0.000        0.000      439.614
  272  R1C7                    10431.594     8060.000    10000.000    -4879.863        0.000        0.000      443.302
  273  D10006                  10456.594     8060.000    10000.000    -4854.863        0.000        0.000      443.302
  274  R1C8                    10506.594     8060.000    10000.000    -4804.863        0.000        0.000      446.989
  275  D10014                  10583.862     8060.000    10000.000    -4727.595        0.000        0.000      446.989
