plate,date,photon_cum_rem,sigma_p_rem,neutron_cum_rem,sigma_n_rem,days_since_install
Hn-19,2025-07-30,2890.0520000000006,0.0,45.660000000000004,0.0,201.0
Hn-19,2025-08-27,2890.0520000000006,0.0,48.38,0.0,229.0
Hn-19,2025-10-21,3003.0080000000007,0.0,49.510000000000005,0.0,243.0
Hn-19,2026-01-12,3003.029000000001,0.0,49.510000000000005,0.0,367.0
Hn-20,2024-11-21,0.0,0.0,0.0,0.0,0.0
Hn-20,2025-05-07,259746.43000000002,21248.270696524087,17316.428666666667,1416.5513797682725,117.0
Hn-20,2025-05-21,297524.52,23595.224246831378,19834.968,1573.0149497887587,131.0
Hn-20,2025-06-11,355968.57,27746.83629846867,23731.238,1849.789086564578,152.0
Hn-20,2025-07-17,443510.03,31670.30846105332,29567.335333333333,2111.3538974035546,188.0
Hn-20,2025-08-27,517045.28,39284.61797848824,34469.685333333335,2618.974531899216,229.0
Hn-20,2025-10-21,529510.24,41263.65797848824,34485.325333333334,2618.974531899216,243.0
Hn-20,2026-01-12,529510.264,41263.65797848824,34485.325333333334,2618.974531899216,367.0
Hs-20,2024-11-20,0.0,0.0,0.0,0.0,0.0
Hs-20,2025-05-07,917.709,0.0,1010.3399999999999,0.0,117.0
Hs-20,2025-05-21,917.709,0.0,1011.1299999999999,0.0,131.0
Hs-20,2025-06-11,6487.949,21.2800000000002,1012.0799999999999,0.0,152.0
Hs-20,2025-07-17,20426.749,861.8400000000001,1014.0799999999999,0.0,188.0
Hs-20,2025-08-27,55725.638999999996,7202.230458962286,1014.7299999999999,0.0,229.0
Hs-20,2025-10-23,58635.87899999999,7351.190458962286,1014.8499999999999,0.0,243.0
Hs-20,2026-01-08,58635.88799999999,7351.190458962286,1014.8499999999999,0.0,363.0
Hn-37,2024-12-04,0.0,0.0,0.0,0.0,0.0
Hn-37,2025-04-23,371.143,0.0,8.58,0.0,103.0
Hn-37,2025-05-21,381.731,0.0,8.74,0.0,131.0
Hn-37,2025-07-30,919.3509999999999,0.0,21.91,0.0,201.0
Hn-37,2025-08-27,991.0449999999998,0.0,23.02,0.0,229.0
Hn-37,2025-10-21,1008.6579999999999,0.0,23.06,0.0,243.0
Hn-37,2026-01-08,1008.6679999999999,0.0,23.06,0.0,363.0
Hn-39,2024-12-04,0.0,0.0,0.0,0.0,0.0
Hn-39,2025-05-07,147.69,0.0,5.85,0.0,117.0
Hn-39,2025-05-21,706.316,0.0,6.369999999999999,0.0,131.0
Hn-39,2025-06-17,2206.316,500.0,8.739999999999998,0.0,152.0
Hn-39,2025-07-17,7175.596,627.6800000000001,16.139999999999997,0.0,188.0
Hn-39,2025-08-27,19129.836,691.5200000000002,22.22,0.0,229.0
Hn-39,2025-10-23,19129.836,691.5200000000002,22.869999999999997,0.0,243.0
Hn-39,2026-01-08,19129.843,691.5200000000002,22.869999999999997,0.0,363.0
Y-1,2024-11-05,0.0,0.0,0.0,0.0,0.0
Y-1,2025-04-23,323067.21,55816.40458599718,21536.29,3721.0936390664788,103.0
Y-1,2025-05-07,479800.7166666667,74926.53214650521,31985.190444444444,4995.102143100347,117.0
Y-1,2025-07-30,1211056.5633333335,145990.29271654383,80735.58022222223,9732.686181102921,201.0
Y-1,2025-08-27,1403554.87,166677.41539770202,93568.80066666668,11111.827693180134,229.0
Y-1,2025-10-21,1471398.76,170753.29958488152,98091.72666666668,11383.553305658768,243.0
Y-1,2026-01-12,1471398.8,170753.29958488152,98091.72666666668,11383.553305658768,367.0
Y-3,2024-11-07,0.0,0.0,0.0,0.0,0.0
