plate,collection_date,badge_serial,landauer_part_nbr,landauer_report_date,begin_wear,end_wear,body_mrem,skin_mrem,eye_mrem,beta_mrem,neutron_mrem,nt_mrem,nf_mrem,photon_mrem,exceeded_1000rad,saturated_osl,neutron_exceeded,dose_status
Hn-20,2026-01-12,XA01118914F,181,20260320,7/1/2025,12/31/2025,24,24,24,0,0,0,0,24,False,False,False,MEASURED
Hn-37,2025-03-12,XA00071249E,910,20250331,1/1/2025,6/30/2025,191,230,209,49,0,0,0,142,False,False,False,MEASURED
Hn-37,2025-03-25,XA001211621,1051,20250331,1/1/2025,6/30/2025,127134,102413,123118,96081,2630,200,2430,28423,False,False,False,MEASURED
Hn-37,2025-04-08,XA00636841F,1116,20250502,1/1/2025,6/30/2025,251734,251734,251734,75293,5950,520,5430,170491,False,False,False,MEASURED
Hn-37,2025-04-23,XA01353630M,1079,20250502,1/1/2025,6/30/2025,664,645,664,0,0,0,0,664,False,False,False,MEASURED
Hn-37,2025-05-07,XA01515520T,1380,20250516,1/1/2025,6/30/2025,661,774,712,113,0,0,0,548,False,False,False,MEASURED
Hn-37,2025-05-21,XA003777453,1277,20250624,1/1/2025,6/30/2025,10087,12186,11196,2463,160,20,140,7464,False,False,False,MEASURED
Hn-37,2025-06-17,XA00865108C,1191,20250804,1/1/2025,6/30/2025,191742,154917,185759,148538,6280,450,5830,36924,False,False,False,MEASURED
Hn-37,2025-07-02,XA04105780J,401,20250804,1/1/2025,6/30/2025,74626,60098,72265,43350,1460,130,1330,29816,False,False,False,MEASURED
Hn-37,2025-07-30,XA02735112Q,562,20250819,7/1/2025,12/31/2025,284422,229026,275423,220584,5430,410,5020,58408,False,False,False,MEASURED
Hn-37,2025-08-27,XA01024064V,286,20250915,7/1/2025,12/31/2025,72804,58568,70491,19698,1110,80,1030,51996,False,False,False,MEASURED
Hn-37,2025-09-10,XA00895574Z,202,20250930,7/1/2025,12/31/2025,17653,17347,17653,0,40,0,40,17613,False,False,False,MEASURED
Hn-37,2026-01-08,XA008449932,180,20260320,7/1/2025,12/31/2025,10,10,10,0,0,0,0,10,False,False,False,MEASURED
Hn-39,2025-03-12,XA02716235J,880,20250331,1/1/2025,6/30/2025,445,679,555,244,0,0,0,201,False,False,False,MEASURED
Hn-39,2025-03-25,XA008904655,1030,20250331,1/1/2025,6/30/2025,2966,3892,3383,926,620,30,590,1420,False,False,False,MEASURED
Hn-39,2025-04-08,XA04105396E,1167,20250502,1/1/2025,6/30/2025,22689,22689,22689,0,4680,250,4430,18009,False,False,False,MEASURED
Hn-39,2025-04-23,XA00877430F,1057,20250502,1/1/2025,6/30/2025,79665,79665,79665,0,550,30,520,79115,False,False,False,MEASURED
Hn-39,2025-05-07,XA02130113Z,1339,20250516,1/1/2025,6/30/2025,47775,47775,47775,0,0,0,0,47775,False,False,False,MEASURED
Hn-39,2025-05-21,XA025318673,1259,20250624,1/1/2025,6/30/2025,559146,559146,559146,0,520,30,490,558626,False,False,False,MEASURED
Hn-39,2025-06-11,XA00767836Y,286,20250624,1/1/2025,6/30/2025,1002370,2370,2370,0,2370,150,2220,-1,True,False,False,EXCEEDED_PARTIAL
Hn-39,2025-07-02,XA00331453Q,1388,20250804,1/1/2025,6/30/2025,1003940,3940,3940,0,3940,250,3690,-1,True,False,False,EXCEEDED_PARTIAL
Hn-39,2025-07-17,XA01089603A,527,20250804,7/1/2025,12/31/2025,1003460,3460,3460,0,3460,410,3050,-1,True,False,False,EXCEEDED_PARTIAL
Hn-39,2025-08-27,XA00872712C,273,20250915,7/1/2025,12/31/2025,1006080,6080,6080,0,6080,440,5640,-1,True,False,False,EXCEEDED_PARTIAL
Hn-39,2025-09-10,XA02703318I,248,20250930,7/1/2025,12/31/2025,1000650,650,650,0,650,40,610,-1,True,False,False,EXCEEDED_PARTIAL
Hn-39,2026-01-08,XA00024736I,167,20260320,7/1/2025,12/31/2025,7,7,7,0,0,0,0,7,False,False,False,MEASURED
Hn-6,2025-01-27,XA006996331,978,20250227,1/1/2025,6/30/2025,1829,1852,1829,0,0,0,0,1829,False,False,False,MEASURED
Hn-6,2025-02-18,XA00859698R,920,20250306,1/1/2025,6/30/2025,24974,24974,24974,0,200,10,190,24774,False,False,False,MEASURED
Hn-6,2025-03-05,XA02629087A,1003,20250331,1/1/2025,6/30/2025,177593,177593,177593,0,1410,110,1300,176183,False,False,False,MEASURED
Hn-6,2025-03-12,XA009925808,981,20250331,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-6,2025-03-25,XA011261111,988,20250331,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-6,2025-04-08,XA00552203S,1111,20250502,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-6,2025-04-23,XA00916631L,1082,20250502,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
Hn-6,2025-05-07,XA007339960,1324,20250516,1/1/2025,6/30/2025,1000000,0,0,0,0,0,0,-1,True,True,False,SATURATED_FLOOR
