assembly_id,plate,slot,pair,material,region,baseline_mean,latest_mean,pct_change,n_baseline,temp_corrected,environment,is_outlier
As-3-2-2,3,2,2,SmCo,SW Arc,1.3622,1.3652,0.2222,1,True,tunnel,False
As-3-3-1,3,3,1,SmCo,SW Arc,1.3493,1.3527,0.2559,1,True,tunnel,False
As-3-3-2,3,3,2,SmCo,SW Arc,1.3568,1.3599,0.2316,1,True,tunnel,False
As-3-4-1,3,4,1,SmCo,SW Arc,1.358,1.3606,0.1933,1,True,tunnel,False
As-4-1-1,4,1,1,SmCo,Labyrinth,1.3626,1.3641,0.1112,1,True,tunnel,False
As-4-2-1,4,2,1,SmCo,Labyrinth,1.3659,1.3671,0.0839,1,True,tunnel,False
As-4-2-2,4,2,2,SmCo,Labyrinth,1.3599,1.3629,0.2155,1,True,tunnel,False
As-4-3-1,4,3,1,SmCo,Labyrinth,1.3592,1.3612,0.1439,1,True,tunnel,False
As-4-3-2,4,3,2,SmCo,Labyrinth,1.3528,1.356,0.2327,1,True,tunnel,False
As-4-4-1,4,4,1,SmCo,Labyrinth,1.3587,1.3584,-0.0239,1,True,tunnel,False
As-4-4-2,4,4,2,SmCo,Labyrinth,1.3601,1.3573,-0.2107,1,True,tunnel,False
As-5-1-1,5,1,1,SmCo,Labyrinth,1.3631,1.3665,0.2502,1,True,tunnel,False
As-5-1-2,5,1,2,SmCo,Labyrinth,1.3606,1.3643,0.2759,1,True,tunnel,False
As-5-2-1,5,2,1,SmCo,Labyrinth,1.359,1.3628,0.2824,1,True,tunnel,False
As-5-2-2,5,2,2,SmCo,Labyrinth,1.3591,1.3621,0.2213,1,True,tunnel,False
As-5-3-1,5,3,1,SmCo,Labyrinth,1.3556,1.3566,0.0708,1,True,tunnel,False
As-5-3-2,5,3,2,SmCo,Labyrinth,1.3569,1.36,0.2253,1,True,tunnel,False
As-5-4-1,5,4,1,SmCo,Labyrinth,1.3595,1.363,0.2587,1,True,tunnel,False
As-6-1-1,6,1,1,SmCo,NE Arc,1.36,1.3604,0.025,1,True,tunnel,False
As-6-1-2,6,1,2,SmCo,NE Arc,1.3539,1.3547,0.0606,1,True,tunnel,False
As-6-2-1,6,2,1,SmCo,NE Arc,1.3611,1.3624,0.0963,1,True,tunnel,False
As-6-2-2,6,2,2,SmCo,NE Arc,1.3628,1.3628,0.0048,1,True,tunnel,False
As-6-3-1,6,3,1,SmCo,NE Arc,1.3637,1.3634,-0.0234,1,True,tunnel,False
As-6-4-1,6,4,1,SmCo,NE Arc,1.3647,1.3647,-0.0012,1,True,tunnel,False
As-6-4-2,6,4,2,SmCo,NE Arc,1.3657,1.3647,-0.0743,1,True,tunnel,False
As-7-1-1,7,1,1,SmCo,North Linac,1.3598,1.3633,0.2583,1,True,tunnel,False
As-7-1-2,7,1,2,SmCo,North Linac,1.3579,1.3608,0.2171,1,True,tunnel,False
As-7-2-1,7,2,1,SmCo,North Linac,1.3685,1.3712,0.1933,1,True,tunnel,False
As-7-2-2,7,2,2,SmCo,North Linac,1.3644,1.3667,0.1656,1,True,tunnel,False
As-7-3-1,7,3,1,SmCo,North Linac,1.3542,1.3533,-0.0645,1,True,tunnel,False
As-7-3-2,7,3,2,SmCo,North Linac,1.3552,1.3558,0.0456,1,True,tunnel,False
As-7-4-1,7,4,1,SmCo,North Linac,1.3597,1.3617,0.1506,1,True,tunnel,False
