#  N                 name        S[cm]        X[cm]        Y[cm]        Z[cm]   TetaX[deg]   TetaY[deg]  Energy[Mev]
  207  R193                     7123.641     8060.000    10000.000    -8345.288        0.000        0.000    16270.739
  208  D108                     7148.641     8060.000    10000.000    -8320.288        0.000        0.000    16270.739
  209  R194                     7198.641     8060.000    10000.000    -8270.288        0.000        0.000    16274.489
  210  D109                     7264.701     8060.000    10000.000    -8204.228        0.000        0.000    16274.489
  211  R195                     7314.701     8060.000    10000.000    -8154.228        0.000        0.000    16278.239
  212  D108                     7339.701     8060.000    10000.000    -8129.228        0.000        0.000    16278.239
  213  R196                     7389.701     8060.000    10000.000    -8079.228        0.000        0.000    16281.989
  214  D109                     7455.761     8060.000    10000.000    -8013.168        0.000        0.000    16281.989
  215  R197                     7505.761     8060.000    10000.000    -7963.168        0.000        0.000    16285.739
  216  D108                     7530.761     8060.000    10000.000    -7938.168        0.000        0.000    16285.739
  217  R198                     7580.761     8060.000    10000.000    -7888.168        0.000        0.000    16289.489
  218  D117                     7646.269     8060.000    10000.000    -7822.660        0.000        0.000    16289.489
  219  ITV1L10                  7646.269     8060.000    10000.000    -7822.660        0.000        0.000    16289.489
  220  D118                     7658.029     8060.000    10000.000    -7810.900        0.000        0.000    16289.489
  221  MAT1L10H                 7658.029     8060.000    10000.000    -7810.900        0.000        0.000    16289.489
  222  D112                     7697.975     8060.000    10000.000    -7770.954        0.000        0.000    16289.489
  223  IPM1L10                  7697.975     8060.000    10000.000    -7770.954        0.000        0.000    16289.489
  224  D105                     7699.823     8060.000    10000.000    -7769.106        0.000        0.000    16289.489
  225  MQ1L10A                  7709.823     8060.000    10000.000    -7759.106        0.000        0.000    16289.489
  226  D106                     7719.823     8060.000    10000.000    -7749.106        0.000        0.000    16289.489
  227  MQ1L10B                  7739.823     8060.000    10000.000    -7729.106        0.000        0.000    16289.489
  228  D106                     7749.823     8060.000    10000.000    -7719.106        0.000        0.000    16289.489
  229  MQ1L10C                  7759.823     8060.000    10000.000    -7709.106        0.000        0.000    16289.489
  230  D105                     7761.670     8060.000    10000.000    -7707.259        0.000        0.000    16289.489
  231  D107                     7842.580     8060.000    10000.000    -7626.349        0.000        0.000    16289.489
  232  R1A1                     7892.580     8060.000    10000.000    -7576.349        0.000        0.000    16293.239
  233  D108                     7917.580     8060.000    10000.000    -7551.349        0.000        0.000    16293.239
  234  R1A2                     7967.580     8060.000    10000.000    -7501.349        0.000        0.000    16296.989
  235  D109                     8033.640     8060.000    10000.000    -7435.289        0.000        0.000    16296.989
  236  R1A3                     8083.640     8060.000    10000.000    -7385.289        0.000        0.000    16300.739
  237  D108                     8108.640     8060.000    10000.000    -7360.289        0.000        0.000    16300.739
  238  R1A4                     8158.640     8060.000    10000.000    -7310.289        0.000        0.000    16304.489
  239  D109                     8224.700     8060.000    10000.000    -7244.229        0.000        0.000    16304.489
  240  R1A5                     8274.700     8060.000    10000.000    -7194.229        0.000        0.000    16308.239
  241  D108                     8299.700     8060.000    10000.000    -7169.229        0.000        0.000    16308.239
  242  R1A6                     8349.700     8060.000    10000.000    -7119.229        0.000        0.000    16311.989
  243  D109                     8415.760     8060.000    10000.000    -7053.169        0.000        0.000    16311.989
  244  R1A7                     8465.760     8060.000    10000.000    -7003.169        0.000        0.000    16315.739
  245  D108                     8490.760     8060.000    10000.000    -6978.169        0.000        0.000    16315.739
  246  R1A8                     8540.760     8060.000    10000.000    -6928.169        0.000        0.000    16319.489
  247  D116                     8640.000     8060.000    10000.000    -6828.929        0.000        0.000    16319.489
  248  MAT1L11V                 8640.000     8060.000    10000.000    -6828.929        0.000        0.000    16319.489
  249  D104                     8657.976     8060.000    10000.000    -6810.953        0.000        0.000    16319.489
  250  IPM1L11                  8657.976     8060.000    10000.000    -6810.953        0.000        0.000    16319.489
  251  D105                     8659.824     8060.000    10000.000    -6809.106        0.000        0.000    16319.489
  252  MQ1L11A                  8669.824     8060.000    10000.000    -6799.106        0.000        0.000    16319.489
  253  D106                     8679.824     8060.000    10000.000    -6789.106        0.000        0.000    16319.489
  254  MQ1L11B                  8699.824     8060.000    10000.000    -6769.106        0.000        0.000    16319.489
  255  D106                     8709.824     8060.000    10000.000    -6759.106        0.000        0.000    16319.489
  256  MQ1L11C                  8719.824     8060.000    10000.000    -6749.106        0.000        0.000    16319.489
  257  D105                     8721.671     8060.000    10000.000    -6747.258        0.000        0.000    16319.489
  258  D107                     8802.581     8060.000    10000.000    -6666.348        0.000        0.000    16319.489
  259  R1B1                     8852.581     8060.000    10000.000    -6616.348        0.000        0.000    16323.239
  260  D108                     8877.581     8060.000    10000.000    -6591.348        0.000        0.000    16323.239
  261  R1B2                     8927.581     8060.000    10000.000    -6541.348        0.000        0.000    16326.989
  262  D109                     8993.641     8060.000    10000.000    -6475.288        0.000        0.000    16326.989
  263  R1B3                     9043.641     8060.000    10000.000    -6425.288        0.000        0.000    16330.739
  264  D108                     9068.641     8060.000    10000.000    -6400.288        0.000        0.000    16330.739
  265  R1B4                     9118.641     8060.000    10000.000    -6350.288        0.000        0.000    16334.489
  266  D109                     9184.701     8060.000    10000.000    -6284.228        0.000        0.000    16334.489
  267  R1B5                     9234.701     8060.000    10000.000    -6234.228        0.000        0.000    16338.239
  268  D108                     9259.701     8060.000    10000.000    -6209.228        0.000        0.000    16338.239
  269  R1B6                     9309.701     8060.000    10000.000    -6159.228        0.000        0.000    16341.989
  270  D109                     9375.761     8060.000    10000.000    -6093.168        0.000        0.000    16341.989
  271  R1B7                     9425.761     8060.000    10000.000    -6043.168        0.000        0.000    16345.739
  272  D108                     9450.761     8060.000    10000.000    -6018.168        0.000        0.000    16345.739
  273  R1B8                     9500.761     8060.000    10000.000    -5968.168        0.000        0.000    16349.489
  274  D115                     9578.029     8060.000    10000.000    -5890.900        0.000        0.000    16349.489
  275  MAT1L12H                 9578.029     8060.000    10000.000    -5890.900        0.000        0.000    16349.489
  276  D112                     9617.975     8060.000    10000.000    -5850.954        0.000        0.000    16349.489
  277  IPM1L12                  9617.975     8060.000    10000.000    -5850.954        0.000        0.000    16349.489
  278  D105                     9619.823     8060.000    10000.000    -5849.106        0.000        0.000    16349.489
  279  MQ1L12A                  9629.823     8060.000    10000.000    -5839.106        0.000        0.000    16349.489
  280  D106                     9639.823     8060.000    10000.000    -5829.106        0.000        0.000    16349.489
  281  MQ1L12B                  9659.823     8060.000    10000.000    -5809.106        0.000        0.000    16349.489
  282  D106                     9669.823     8060.000    10000.000    -5799.106        0.000        0.000    16349.489
  283  MQ1L12C                  9679.823     8060.000    10000.000    -5789.106        0.000        0.000    16349.489
  284  D105                     9681.671     8060.000    10000.000    -5787.258        0.000        0.000    16349.489
  285  D107                     9762.581     8060.000    10000.000    -5706.348        0.000        0.000    16349.489
  286  R1C1                     9812.581     8060.000    10000.000    -5656.348        0.000        0.000    16353.239
  287  D108                     9837.581     8060.000    10000.000    -5631.348        0.000        0.000    16353.239
  288  R1C2                     9887.581     8060.000    10000.000    -5581.348        0.000        0.000    16356.989
  289  D109                     9953.641     8060.000    10000.000    -5515.288        0.000        0.000    16356.989
  290  R1C3                    10003.641     8060.000    10000.000    -5465.288        0.000        0.000    16360.739
  291  D108                    10028.641     8060.000    10000.000    -5440.288        0.000        0.000    16360.739
  292  R1C4                    10078.641     8060.000    10000.000    -5390.288        0.000        0.000    16364.489
  293  D109                    10144.701     8060.000    10000.000    -5324.228        0.000        0.000    16364.489
  294  R1C5                    10194.701     8060.000    10000.000    -5274.228        0.000        0.000    16368.239
  295  D108                    10219.701     8060.000    10000.000    -5249.228        0.000        0.000    16368.239
  296  R1C6                    10269.701     8060.000    10000.000    -5199.228        0.000        0.000    16371.989
  297  D109                    10335.761     8060.000    10000.000    -5133.168        0.000        0.000    16371.989
  298  R1C7                    10385.761     8060.000    10000.000    -5083.168        0.000        0.000    16375.739
  299  D108                    10410.761     8060.000    10000.000    -5058.168        0.000        0.000    16375.739
  300  R1C8                    10460.761     8060.000    10000.000    -5008.168        0.000        0.000    16379.489
  301  D110                    10560.000     8060.000    10000.000    -4908.929        0.000        0.000    16379.489
  302  MAT1L13V                10560.000     8060.000    10000.000    -4908.929        0.000        0.000    16379.489
  303  D104                    10577.975     8060.000    10000.000    -4890.954        0.000        0.000    16379.489
  304  IPM1L13                 10577.975     8060.000    10000.000    -4890.954        0.000        0.000    16379.489
  305  D105                    10579.823     8060.000    10000.000    -4889.106        0.000        0.000    16379.489
  306  MQ1L13A                 10589.823     8060.000    10000.000    -4879.106        0.000        0.000    16379.489
  307  D106                    10599.823     8060.000    10000.000    -4869.106        0.000        0.000    16379.489
  308  MQ1L13B                 10619.823     8060.000    10000.000    -4849.106        0.000        0.000    16379.489
  309  D106                    10629.823     8060.000    10000.000    -4839.106        0.000        0.000    16379.489
  310  MQ1L13C                 10639.823     8060.000    10000.000    -4829.106        0.000        0.000    16379.489
  311  D105                    10641.670     8060.000    10000.000    -4827.259        0.000        0.000    16379.489
  312  D107                    10722.580     8060.000    10000.000    -4746.349        0.000        0.000    16379.489
  313  R1D1                    10772.580     8060.000    10000.000    -4696.349        0.000        0.000    16383.239
  314  D108                    10797.580     8060.000    10000.000    -4671.349        0.000        0.000    16383.239
  315  R1D2                    10847.580     8060.000    10000.000    -4621.349        0.000        0.000    16386.989
  316  D109                    10913.640     8060.000    10000.000    -4555.289        0.000        0.000    16386.989
  317  R1D3                    10963.640     8060.000    10000.000    -4505.289        0.000        0.000    16390.739
  318  D108                    10988.640     8060.000    10000.000    -4480.289        0.000        0.000    16390.739
  319  R1D4                    11038.640     8060.000    10000.000    -4430.289        0.000        0.000    16394.489
  320  D109                    11104.700     8060.000    10000.000    -4364.229        0.000        0.000    16394.489
  321  R1D5                    11154.700     8060.000    10000.000    -4314.229        0.000        0.000    16398.239
  322  D108                    11179.700     8060.000    10000.000    -4289.229        0.000        0.000    16398.239
  323  R1D6                    11229.700     8060.000    10000.000    -4239.229        0.000        0.000    16401.989
  324  D109                    11295.760     8060.000    10000.000    -4173.169        0.000        0.000    16401.989
  325  R1D7                    11345.760     8060.000    10000.000    -4123.169        0.000        0.000    16405.739
  326  D108                    11370.760     8060.000    10000.000    -4098.169        0.000        0.000    16405.739
