plate,slot,sample_id,material,region,date,pct_change
20,4,Y-20-4,SmCo33H,Labyrinth,2025-08-27,-0.1902
20,4,Y-20-4,SmCo33H,Labyrinth,2025-10-21,-0.0269
20,4,Y-20-4,SmCo33H,Labyrinth,2026-01-12,0.0619
21,1,Y-21-1,SmCo33H,NE Arc,2025-07-17,-1.0106
21,1,Y-21-1,SmCo33H,NE Arc,2025-08-27,-0.2725
21,1,Y-21-1,SmCo33H,NE Arc,2025-10-23,0.0408
21,1,Y-21-1,SmCo33H,NE Arc,2026-01-08,-0.059
21,2,Y-21-2,N52SH,NE Arc,2025-07-17,-1.0753
21,2,Y-21-2,N52SH,NE Arc,2025-08-27,-0.5663
21,2,Y-21-2,N52SH,NE Arc,2025-10-23,-0.1797
21,2,Y-21-2,N52SH,NE Arc,2026-01-08,-0.2096
21,3,Y-21-3,SmCo35,NE Arc,2025-07-17,-0.7795
21,3,Y-21-3,SmCo35,NE Arc,2025-08-27,-0.2661
21,3,Y-21-3,SmCo35,NE Arc,2025-10-23,-0.0666
21,3,Y-21-3,SmCo35,NE Arc,2026-01-08,-0.0167
21,4,Y-21-4,N42EH,NE Arc,2025-07-17,-1.0011
21,4,Y-21-4,N42EH,NE Arc,2025-08-27,-0.595
21,4,Y-21-4,N42EH,NE Arc,2025-10-23,-0.2773
21,4,Y-21-4,N42EH,NE Arc,2026-01-08,-0.28
22,1,Y-22-1,SmCo35,North Linac,2025-07-17,-0.7247
22,1,Y-22-1,SmCo35,North Linac,2025-08-27,-0.244
22,1,Y-22-1,SmCo35,North Linac,2025-10-21,0.0351
22,1,Y-22-1,SmCo35,North Linac,2026-01-12,0.2348
22,2,Y-22-2,N42EH,North Linac,2025-07-17,-1.0395
22,2,Y-22-2,N42EH,North Linac,2025-08-27,-0.4796
22,2,Y-22-2,N42EH,North Linac,2025-10-21,-0.3376
22,2,Y-22-2,N42EH,North Linac,2026-01-12,-0.0742
22,3,Y-22-3,SmCo33H,North Linac,2025-07-17,-1.0623
22,3,Y-22-3,SmCo33H,North Linac,2025-08-27,-0.2645
22,3,Y-22-3,SmCo33H,North Linac,2025-10-21,-0.2302
22,3,Y-22-3,SmCo33H,North Linac,2026-01-12,-0.0136
22,4,Y-22-4,N52SH,North Linac,2025-07-17,-0.9643
